participant,interface,taskType,task,time_s,response,accuracy
2,touch,composition,Gutt Båt Katt,7.42,Gutt med caps katt og båt,
2,touch,composition,Eple Lege Hus,8.05,Eple er godt sier legen i fra huset sitt,
2,touch,composition,Kvinne Fly Baby,3.99,Kvinne fly og baby,
2,touch,composition,Mann Hund Bil,9.28,Mann i dress kul bil og fin hund,
2,touch,composition,Jente Sykkel Tre,4.84,Jente sykkel og tre,
2,touch,composition,Lærer Bok Klasserom,21.82,Lærer underviser fra boken foran klasserommet,
2,touch,composition,Kokk Pizza Kjøkken,7.33,Kokken elsker pizza som han lager i kjøkkenet,
2,touch,composition,Brannmann Brannbil Ild,12.08,Brannmannen rykker ut i brannbil og slukker ild,
2,touch,composition,Politimann Bil Vei,14.35,Politimann kjører fort i bilen på veien,
2,touch,composition,Student Laptop Kaffe,13.18,Studenten bruker laptop og drikker kaffe,
2,touch,transcription,Gutten tar med katten sin på båten.,7.17,Gutten tar med katten sin på båten,97.14
2,touch,transcription,Legen spiser et eple før han drar hjem.,8.32,Legen spiser et eple før han drar hjem,97.44
2,touch,transcription,Kvinnen flyr med babyen sin på flyet.,7.76,Kvinnen flyr med babyen sin på flyet,97.30
2,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,11.41,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
2,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,9.62,Jenta sykler gjennom skogen ved et stort tre,97.78
2,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,12.35,Læreren holder en bok foran klssen i klasserommet,96.08
2,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,10.03,Kokken lager pizza på kjøkkenet sitt,97.30
2,touch,transcription,Brannmannen slukker ild med en brannbil.,17.70,Brannmannen slukker ild med en brannbil,97.50
2,touch,transcription,Politimannen patruljerer veien i bilen sin.,22.40,Politimannen patruljerer veien i bilen,88.37
2,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,1272.60,Studenten jobber på laptopen sin med en kopp kaffe ved siden av,98.44
2,touch,paragraph,Svarte hull,2.12,Et svart hull er ett sted i verdensrommet med ekstremt tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut,97.76
2,touch,paragraph,Livet i rommet,1.17,Livet i rommet Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,91.28
2,touch,paragraph,Første menneske i rommet,1.50,Første menneske i rommet Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,86.77
2,touch,questionnaire,q1:3 q2:3,,Den var lang test,
