participant,interface,taskType,task,time_s,response,accuracy
14,touch,composition,Gutt Båt Katt,5.69,En gutt seiler en båt med en katt,
14,touch,composition,Eple Lege Hus,6.52,En lege spiser et eple i et hus,
14,touch,composition,Kvinne Fly Baby,10.43,En kvinne flyr sammen med en baby,
14,touch,composition,Mann Hund Bil,9.80,En mann kjøren en bil med en hund,
14,touch,composition,Jente Sykkel Tre,5.64,En jente sykler ved et tre,
14,touch,composition,Lærer Bok Klasserom,9.41,En lærer  leser en bok i klasserommet,
14,touch,composition,Kokk Pizza Kjøkken,8.38,En kokk spiser en pizza på et kjøkken.,
14,touch,composition,Brannmann Brannbil Ild,8.76,En brannmann slukker ild med en brannbil,
14,touch,composition,Politimann Bil Vei,8.73,En politimann kjører en bil på en vei,
14,touch,composition,Student Laptop Kaffe,12.46,Studenten jobber på en laptop og drikker kaffe,
14,touch,transcription,Gutten tar med katten sin på båten.,6.78,Gutten tar med katten sin på båten.,100.00
14,touch,transcription,Legen spiser et eple før han drar hjem.,7.24,Legen spiser et eple før han drar hjem,97.44
14,touch,transcription,Kvinnen flyr med babyen sin på flyet.,7.68,Kvinnen flyr med babyen sin på flyet.,100.00
14,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,11.91,Mannen kjører bilen sin mens hunden ser ut av vinduet.,100.00
14,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,8.85,Jenta sykler gjennom skogen ved et stort tre.,100.00
14,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,13.57,Læreren holde. En bok foran klassen i klasserommet.,98.04
14,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,9.52,Kokken lager pizza på kjøkkenet sitt.,100.00
14,touch,transcription,Brannmannen slukker ild med en brannbil.,7.82,Brannmannen slukker ild med en brannbil.,100.00
14,touch,transcription,Politimannen patruljerer veien i bilen sin.,8.18,Politimannen patruljerer veien i bilen sin.,100.00
14,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,13.91,Studenten jobber på laptopen sin med en loff kaffe ved siden av.,95.31
14,touch,paragraph,Svarte hull,30.42,Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for når  blir dratt inn. Ikke engang lys slippes ut.,99.25
14,touch,paragraph,Livet i rommet,40.54,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene sine uten vann. Alt flyter i vektløshet  til og med tårene.,96.91
14,touch,paragraph,Første menneske i rommet,39.17,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,100.00
14,touch,questionnaire,q1:4 q2:1,,,
