participant,interface,taskType,task,time_s,response,accuracy
9,touch,composition,Gutt Båt Katt,7.08,En gutt med en katt på en båt,
9,touch,composition,Eple Lege Hus,5.89,En lege spiser et eple i et hus,
9,touch,composition,Kvinne Fly Baby,5.80,En kvinne flyr med en baby,
9,touch,composition,Mann Hund Bil,6.49,En mann og en hund i en bil,
9,touch,composition,Jente Sykkel Tre,4.91,En jente sykler ved et tre,
9,touch,composition,Lærer Bok Klasserom,11.90,En lærer leser en bok iner klasserommet,
9,touch,composition,Kokk Pizza Kjøkken,7.62,En kokk spiser en pizza i et kjøkken,
9,touch,composition,Brannmann Brannbil Ild,11.28,En brannmann slukker ild med en brannbil,
9,touch,composition,Politimann Bil Vei,8.06,En politimann bruker en bil på en vei,
9,touch,composition,Student Laptop Kaffe,21.69,En student bruker en laptop og en kaffe,
9,touch,transcription,Gutten tar med katten sin på båten.,7.81,Gutten tar med katten sin på båten.,100.00
9,touch,transcription,Legen spiser et eple før han drar hjem.,7.70,legen spiser et eple før han drar hjem.,100.00
9,touch,transcription,Kvinnen flyr med babyen sin på flyet.,9.41,Kvinnen flyr med babyen sin på flyet.,100.00
9,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,11.41,Mannen kjører bilen sin mens hunden ser ut av vinduet.,100.00
9,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,9.08,Jenta sykler gjennom skogen ved et stort tre.,100.00
9,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,10.12,Læreren holder en bok foran klassen i klasserommet.,100.00
9,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,8.73,Kokken lager pizza på kjøkkenet sitt.,100.00
9,touch,transcription,Brannmannen slukker ild med en brannbil.,14.31,Brannmannen slukker ild med en brannbil.,100.00
9,touch,transcription,Politimannen patruljerer veien i bilen sin.,9.77,Politimannen patruljerer veien i bilen sin.,100.00
9,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,13.80,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,100.00
9,touch,paragraph,Svarte hull,31.63,Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut.,100.00
9,touch,paragraph,Livet i rommet,40.66,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
9,touch,paragraph,Første menneske i rommet,41.09,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,100.00
9,touch,questionnaire,q1:4 q2:4,,,
