participant,interface,taskType,task,time_s,response,accuracy
7,touch,composition,Gutt Båt Katt,5.40,Gutt katt båt,
7,touch,composition,Eple Lege Hus,5.72,Eple hus lege,
7,touch,composition,Kvinne Fly Baby,3.22,Kvinne fly baby,
7,touch,composition,Mann Hund Bil,3.29,Mann bil hund,
7,touch,composition,Jente Sykkel Tre,5.14,Jente tre sykkel,
7,touch,composition,Lærer Bok Klasserom,3.48,Lærer klasserom bok,
7,touch,composition,Kokk Pizza Kjøkken,4.21,Kokk kjøkken pizza,
7,touch,composition,Brannmann Brannbil Ild,4.63,Brannmann brannbil ild,
7,touch,composition,Politimann Bil Vei,4.89,Politimann vei bil,
7,touch,composition,Student Laptop Kaffe,7.62,Student laptop kaffe,
7,touch,transcription,Gutten tar med katten sin på båten.,8.77,Gutten tar med katten sin på båten,97.14
7,touch,transcription,Legen spiser et eple før han drar hjem.,6.79,Legen spiser et eple før han dra hjem,94.87
7,touch,transcription,Kvinnen flyr med babyen sin på flyet.,7.34,Kvinnen flyr med babyen sin på flyet,97.30
7,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,7.90,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
7,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,16.12,Jenta sykler gjennom skogen ved et Stort tre,97.78
7,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,12.47,Læreren holder en bok foran klasserommet,78.43
7,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,6.81,Kokken lager pizza på kjøknet sitt,91.89
7,touch,transcription,Brannmannen slukker ild med en brannbil.,7.05,Brannmannen slukker ild med en brannbil,97.50
7,touch,transcription,Politimannen patruljerer veien i bilen sin.,9.87,Politimannen patruljerer veien bilen  sin,90.70
7,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,11.88,Studenten jobber på laptopen dimmes en kopp kaffe ved siden av,92.19
7,touch,paragraph,Svarte hull,1.17,Et svart hull er ett sted i verdensrommet med ekstremt tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut,97.76
7,touch,paragraph,Livet i rommet,1.51,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
7,touch,paragraph,Første menneske i rommet,1.01,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,100.00
7,touch,questionnaire,q1:5 q2:1,,,
