participant,interface,taskType,task,time_s,response,accuracy
10,touch,composition,Gutt Båt Katt,3.27,Ne katt,
10,touch,composition,Eple Lege Hus,9.63,En lege tar et eple i et hus,
10,touch,composition,Kvinne Fly Baby,6.55,En kvinne flyr med en baby,
10,touch,composition,Mann Hund Bil,8.31,En mann og en hund i en bil,
10,touch,composition,Jente Sykkel Tre,9.82,En jente sykler ved et tre,
10,touch,composition,Lærer Bok Klasserom,7.14,En lærer leser en bok i klasserommet,
10,touch,composition,Kokk Pizza Kjøkken,7.83,En kokk spiser en pizza i et kjøkken,
10,touch,composition,Brannmann Brannbil Ild,10.56,En brannmann slukker ild med en brannbil,
10,touch,composition,Politimann Bil Vei,10.17,Politimannen bruker en bil på en vei,
10,touch,composition,Student Laptop Kaffe,9.71,En student bruker laptop og drikker kaffe,
10,touch,transcription,Gutten tar med katten sin på båten.,11.54,Gutten tar med katten sin på båten,97.14
10,touch,transcription,Legen spiser et eple før han drar hjem.,8.30,Legen spiser et eple før han drar hjem.,100.00
10,touch,transcription,Kvinnen flyr med babyen sin på flyet.,9.56,Kvinnen flyr med babyen sin på flyet.,100.00
10,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,12.88,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
10,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,11.00,Jenta sykler gjennom skogen ved et stort tre.,100.00
10,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,11.25,Læreren holder en bok foran klassen i klasserommet.,100.00
10,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,9.22,Kokken lager pizza på kjøkkenet sitt.,100.00
10,touch,transcription,Brannmannen slukker ild med en brannbil.,8.53,Brannmannen slukker ild med en brannbil.,100.00
10,touch,transcription,Politimannen patruljerer veien i bilen sin.,10.31,Politimannen patruljerer veien i bilens sin.,97.73
10,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,13.93,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,100.00
10,touch,paragraph,Svarte hull,34.40,Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut.,100.00
10,touch,paragraph,Livet i rommet,39.26,Astronauter målfester seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,98.73
10,touch,paragraph,Første menneske i rommet,42.49,Den første personene i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen vart ei 108 minutter  men gjorde han verdensberømt.,98.18
10,touch,questionnaire,q1:3 q2:4,,,
