participant,interface,taskType,task,time_s,response,accuracy
4,touch,composition,Gutt Båt Katt,6.05,Gutten leker med båt og katt,
4,touch,composition,Eple Lege Hus,19.05,En eple om dagen hjemmefra holder deg sund sier legen,
4,touch,composition,Kvinne Fly Baby,5.94,Babyen og mamma flyr sammen,
4,touch,composition,Mann Hund Bil,11.18,Mannen lufter hunder før han kjører av gårde i bilen sin,
4,touch,composition,Jente Sykkel Tre,8.79,Jenta elsker å sykle til treet,
4,touch,composition,Lærer Bok Klasserom,16.15,Lærer deler bok til alle i klasserommet,
4,touch,composition,Kokk Pizza Kjøkken,10.41,Kokken liker pizza han lager det i kjøkkenet,
4,touch,composition,Brannmann Brannbil Ild,30.02,Brannmannen må slukker ild i en leigligjet med brannbilen,
4,touch,composition,Politimann Bil Vei,18.37,Politimannen mener veien er glatt han har sklidd ned bilen,
4,touch,composition,Student Laptop Kaffe,16.00,Studenten bruker laptop til å studere og drikker god kaffe,
4,touch,transcription,Gutten tar med katten sin på båten.,6.76,Gutten tar med katten sin på båten,97.14
4,touch,transcription,Legen spiser et eple før han drar hjem.,8.21,Legen spiser et eple før han drar hjem,97.44
4,touch,transcription,Kvinnen flyr med babyen sin på flyet.,16.73,Kvinnen flyr med babyen sin på flyet,97.30
4,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,87.26,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
4,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,9.63,Jenta sykler gjennom skogen ved et stort tre,97.78
4,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,10.43,Læreren holder en bok foran klassen i klasserommet,98.04
4,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,8.99,Kokken lager pizza på kjøkkenet sitt,97.30
4,touch,transcription,Brannmannen slukker ild med en brannbil.,13.91,Brannmannen slukker ild med brannbil,90.00
4,touch,transcription,Politimannen patruljerer veien i bilen sin.,8.54,Politimannen patruljerer veien i bilen sin,97.67
4,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,10.60,Studenten jobber på laptopen sin med en kopp kaffe,78.13
4,touch,paragraph,Svarte hull,0.57,Et svart hull er ett sted i verdensrommet med ekstremt tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut,97.76
4,touch,paragraph,Livet i rommet,1.25,Livet i rommet Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,91.28
4,touch,paragraph,Første menneske i rommet,1.00,Første menneske i rommet Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,86.77
4,touch,questionnaire,q1:1 q2:5,,Følte testen tok lang tid med mobilen eller fin,
