participant,interface,taskType,task,time_s,response,accuracy
6,touch,composition,Gutt Båt Katt,7.69,En gutt med katten og båten sin,
6,touch,composition,Eple Lege Hus,5.94,Legen liker eple som han spiser hjemme,
6,tocuh,composition,Kvinne Fly Baby,9.38,Kvinnen elsker babyen og tar den med på flyet,
6,touch,composition,Mann Hund Bil,10.04,Mannen dra på jobb med bilen og har med hunden,
6,touch,composition,Jente Sykkel Tre,9.43,Jenta sykler til skolen og kjører forbi et tre,
6,touch,composition,Lærer Bok Klasserom,12.24,Læreren viser fra boken sin til alle i klasserommet,
6,touch,composition,Kokk Pizza Kjøkken,13.73,Kokken elsker å lage pizza på kjøknet,
6,touch,composition,Brannmann Brannbil Ild,13.16,Brannbilen kjøres av brannmannen for å slukke ild,
6,touch,composition,Politimann Bil Vei,18.46,Politimannen kjører for med bilen sin på veien,
6,touch,composition,Student Laptop Kaffe,13.45,Studenten liker å bruke laptop å drikke kaffe,
6,touch,transcription,Gutten tar med katten sin på båten.,8.70,Gutten tar med katten sin på båten,97.14
6,touch,transcription,Legen spiser et eple før han drar hjem.,9.27,Legen spiser et eple før han drar hjem,97.44
6,touch,transcription,Kvinnen flyr med babyen sin på flyet.,14.14,Kvinnen flyr med babyen sin på flyet,97.30
6,touch,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,13.57,Mannen kjører bilen sin mens hunden ser ut av vinduet,98.15
6,touch,transcription,Jenta sykler gjennom skogen ved et stort tre.,8.75,Jenta sykler gjennom skogen ved et stort tre,97.78
6,touch,transcription,Læreren holder en bok foran klassen i klasserommet.,11.89,Læreren holder en bok foran klassen i klasserommet,98.04
6,touch,transcription,Kokken lager pizza på kjøkkenet sitt.,8.95,Kokken lager pizza på kjøkkenet sitt,97.30
6,touch,transcription,Brannmannen slukker ild med en brannbil.,7.03,Brannmannen slukker ild med en brannbil,97.50
6,touch,transcription,Politimannen patruljerer veien i bilen sin.,7.94,Politimannen patruljerer veien i bilen sin,97.67
6,touch,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,14.20,Studenten jobber på laptopen sin med en kopp kaffe ved siden av,98.44
6,touch,paragraph,Svarte hull,0.87,Et svart hull er ett sted i verdensrommet med ekstremt tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut,97.76
6,touch,paragraph,Livet i rommet,1.16,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
6,touch,paragraph,Første menneske i rommet,1.00,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,100.00
6,touch,questionnaire,q1:5 q2:5,,Veldig kul undersøkelse,
