participant,interface,taskType,task,time_s,response,accuracy
1,keyboard,composition,Gutt Båt Katt,8.32,en gutt med caps båt og katt,
1,keyboard,composition,Eple Lege Hus,4.91,eple lege og hus,
1,keyboard,composition,Kvinne Fly Baby,5.20,kvinne fly og ett barn,
1,keyboard,composition,Mann Hund Bil,5.71,mann med dress en hund og bil,
1,keyboard,composition,Jente Sykkel Tre,5.08,jente sykkel og tre,
1,keyboard,composition,Lærer Bok Klasserom,14.42,lærer som underviser i klasserommet og en bok,
1,keyboard,composition,Kokk Pizza Kjøkken,7.94,kokken lager pizza for alle i kjøkknet,
1,keyboard,composition,Brannmann Brannbil Ild,9.86,brannmannen slukker ild og kjører brannbil,
1,keyboard,composition,Politimann Bil Vei,9.09,politimannen kjører bilen sin på veien,
1,keyboard,composition,Student Laptop Kaffe,12.34,studenten bruker laptop under studie og drikker kaffe,
1,keyboard,transcription,Gutten tar med katten sin på båten.,1.23,Gutten tar med katten sin på båten.,100.00
1,keyboard,transcription,Legen spiser et eple før han drar hjem.,1.08,Legen spiser et eple før han drar hjem.,100.00
1,keyboard,transcription,Kvinnen flyr med babyen sin på flyet.,0.91,Kvinnen flyr med babyen sin på flyet.,100.00
1,keyboard,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,1.16,Mannen kjører bilen sin mens hunden ser ut av vinduet.,100.00
1,keyboard,transcription,Jenta sykler gjennom skogen ved et stort tre.,1.33,Jenta sykler gjennom skogen ved et stort tre.,100.00
1,keyboard,transcription,Læreren holder en bok foran klassen i klasserommet.,2.44,Læreren holder en bok foran klassen i klasserommet.,100.00
1,keyboard,transcription,Kokken lager pizza på kjøkkenet sitt.,0.96,Kokken lager pizza på kjøkkenet sitt.,100.00
1,keyboard,transcription,Brannmannen slukker ild med en brannbil.,1.10,Brannmannen slukker ild med en brannbil.,100.00
1,keyboard,transcription,Politimannen patruljerer veien i bilen sin.,1.23,Politimannen patruljerer veien i bilen sin.,100.00
1,keyboard,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,1.24,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,100.00
1,keyboard,paragraph,Svarte hull,2.80,Svarte hull Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut.,91.72
1,keyboard,paragraph,Livet i rommet,1.28,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
1,keyboard,paragraph,Første menneske i rommet,1.27,Første menneske i rommet Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt.,86.77
1,keyboard,questionnaire,q1:5 q2:1,,,
