participant,interface,taskType,task,time_s,response,accuracy
8,keyboard,composition,Gutt Båt Katt,7.76,En gutt har en katt i en båt,
8,keyboard,composition,Eple Lege Hus,8.11,En lege spiser eple i et hus,
8,keyboard,composition,Kvinne Fly Baby,7.14,En kvinne har en baby i et fly,
8,keyboard,composition,Mann Hund Bil,6.39,En mann har en hund i en bil,
8,keyboard,composition,Jente Sykkel Tre,6.23,En jente sykler ved et tre,
8,keyboard,composition,Lærer Bok Klasserom,9.17,En lærer leser en bok foran klasserommet,
8,keyboard,composition,Kokk Pizza Kjøkken,9.83,En kokk spiser en pizze i et kjøkken,
8,keyboard,composition,Brannmann Brannbil Ild,8.63,En brannmann slukker ild med en brannbil,
8,keyboard,composition,Politimann Bil Vei,8.42,En politimann kjører en bil på en vei.,
8,keyboard,composition,Student Laptop Kaffe,11.60,Studenten er på laptop og drikker en kaffe,
8,keyboard,transcription,Gutten tar med katten sin på båten.,8.82,Gutten tar med katten sin på båten.,100.00
8,keyboard,transcription,Legen spiser et eple før han drar hjem.,9.82,Legen spiser et eple før han drar hjem,97.44
8,keyboard,transcription,Kvinnen flyr med babyen sin på flyet.,9.24,Kvinnen flyr med babyen sin på flyet.,100.00
8,keyboard,transcription,Mannen kjører bilen sin mens hunden ser ut av vinduet.,10.51,Mannen kjører bilen sin mens hunden ser ut av vinduet.,100.00
8,keyboard,transcription,Jenta sykler gjennom skogen ved et stort tre.,11.66,Jenta sykler gjennom skogen ved et stort tre.,100.00
8,keyboard,transcription,Læreren holder en bok foran klassen i klasserommet.,12.07,Læreren holder en bok foran klassen i klasserommet.,100.00
8,keyboard,transcription,Kokken lager pizza på kjøkkenet sitt.,11.10,Kokken lager pizze på kjøkkenet sitt.,97.30
8,keyboard,transcription,Brannmannen slukker ild med en brannbil.,8.15,Brannmannen slukker ild med en brannbil.,100.00
8,keyboard,transcription,Politimannen patruljerer veien i bilen sin.,10.51,Politimannen patruljerer veien i bilen sin.,100.00
8,keyboard,transcription,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,15.57,Studenten jobber på laptopen sin med en kopp kaffe ved siden av.,100.00
8,keyboard,paragraph,Svarte hull,33.00,Et svart hull er et sted i verdensrommet med ekstrem tyngdekraft. Alt som kommer for nær  blir dratt inn. Ikke engang lys slippes ut.,100.00
8,keyboard,paragraph,Livet i rommet,33.87,Astronauter må feste seg når de sover  ellers flyter de rundt. De spiser mat i poser og pusser tennene uten vann. Alt flyter i vektløshet  til og med tårene.,100.00
8,keyboard,paragraph,Første menneske i rommet,48.93,Den første personen i verdensrommet het Jurij Gagarin. Han kom fra Russland og reiste rundt jorden i 1961. Turen varte i 108 minutter  men gjorde han verdensberømt,99.39
8,keyboard,questionnaire,q1:4 q2:2,,,
